Entertainer,Gender (traditional),Birth Year
Adele,F,1988
Angelina Jolie,F,1975
Aretha Franklin,F,1942
Bette Davis,F,1908
Betty White,F,1922
Bing Crosby,M,1903
Bob Hope,M,1903
Carol Burnett,F,1933
Carole Lombard,F,1908
Carrie Fisher,F,1956
Cary Grant,M,1904
Charlie Chaplin,M,1889
Clara Bow,F,1905
Clark Gable,M,1901
David Letterman,M,1947
Debbie Reynolds,F,1932
Denzel Washington,M,1954
Dick Van Dyke,M,1925
Donald Sutherland,M,1935
Dustin Hoffman,M,1937
Ed Sullivan,M,1901
Eddie Murphy,M,1961
Elton John,M,1947
Elvis Presley,M,1935
Frank Sinatra,M,1915
Gene Hackman,M,1930
George Michael,M,1963
Gregory Peck,M,1916
Greta Garbo,F,1905
Humphrey Bogart,M,1899
James Dean,M,1931
Jay Leno,M,1950
Jennifer Aniston,F,1969
Jerry Seinfeld,M,1954
Jimmy Page,M,1944
Jimmy Stewart,M,1908
Joan Crawford,F,1904
John Lennon,M,1940
John Wayne,M,1907
Johnny Carson,M,1925
Johnny Depp,M,1963
Justin Timberlake,M,1981
Katherine Hepburn,F,1907
Keifer Sutherland,M,1966
Kirk Douglas,M,1916
Lady Gaga,F,1986
Leonard Bernstein,M,1918
Leonardo DiCaprio,M,1974
Louis Armstrong,M,1901
Madonna,F,1958
Mariah Carey,F,1969
Marlon Brando,M,1924
Mary Tyler Moore,F,1936
Meryl Streep,F,1949
Mick Jagger,M,1943
Morgan Freeman,M,1937
Oprah Winfrey,F,1954
Paul McCartney,M,1942
Paul Newman,M,1925
Peter O'Toole,M,1932
Prince,M,1958
Robert Redford,M,1936
Sidney Poitier,M,1927
Sly Stone,M,1943
Stevie Wonder,M,1950
Tom Hanks,M,1956
Tony Bennett,M,1926
Wayne Newton,M,1942
Will Smith,M,1968
Willie Nelson,M,1933
