Entertainer,Year of Breakthrough/#1 Hit/Award Nomination,Breakthrough Name,Year of First Oscar/Grammy/Emmy
Adele,2008,19,2009
Angelina Jolie,1999,"Girl, Interrupted",1999
Aretha Franklin,1967,I Never Loved a Man (The Way I Love You),1968
Bette Davis,1934,Of Human Bondage,1935
Betty White,1952,Life with Elilzabeth,1976
Bing Crosby,1931,Several Songs,1962
Bob Hope,1938,The Big Broadcast of 1938,1940
Carol Burnett,1959,The Garry Moore Show,1962
Carole Lombard,1934,Twentieth Century,
Carrie Fisher,1977,Star Wars,
Cary Grant,1933,"She Done Him Wrong, I'm No Angel",1970
Charlie Chaplin,1915,The Tramp,1929
Clara Bow,1926,Mantrap,
Clark Gable,1934,It Happened One Night,1934
David Letterman,1982,Late Night with David Letterman,1981
Debbie Reynolds,1952,Singin' in the Rain,
Denzel Washington,1989,Glory,1989
Dick Van Dyke,1961,"Bye Bye Birdie, The Dick Van Dyke Show",1964
Donald Sutherland,1967,The Dirty Dozen,1995
Dustin Hoffman,1967,The Graduate,1980
Ed Sullivan,1948,Toast of the Town,1956
Eddie Murphy,1980,Saturday Night Live,2001
Elton John,1972,Honky Chateau,1987
Elvis Presley,1956,Heartbreak Hotel,1959
Frank Sinatra,1940,I'll Never Smile Again,1946
Gene Hackman,1967,Bonnie and Clyde,1971
George Michael,1984,Wake Me Up Before You Go-Go,1988
Gregory Peck,1944,The Keys of the Kingdom,1962
Greta Garbo,1930,Anna Christie,1954
Humphrey Bogart,1936,The Petrified Forest,1951
James Dean,1953,East of Eden,1955
Jay Leno,1992,The Tonight Show,1995
Jennifer Aniston,1994,Friends,2002
Jerry Seinfeld,1988,Seinfeld,1992
Jimmy Page,1969,Led Zeppelin 2,1999
Jimmy Stewart,1938,You Can't Take it With You,1941
Joan Crawford,1928,Our Dancing Daughters,1946
John Lennon,1963,I Want to Hold Your Hand,1965
John Wayne,1939,Stagecoach,1970
Johnny Carson,1962,The Tonight Show Starring Johnny Carson,1976
Johnny Depp,1987,21 Jump Street,
Justin Timberlake,2000,No Strings Attached,2004
Katherine Hepburn,1933,Morning Glory,1933
Keifer Sutherland,2001,24,2006
Kirk Douglas,1949,Champion,1996
Lady Gaga,2008,The Fame,2010
Leonard Bernstein,1957,West Side Story,1962
Leonardo DiCaprio,1997,Titanic,2016
Louis Armstrong,1964,"Hello, Dolly!",1993
Madonna,1984,Like A Virgin,1992
Mariah Carey,1990,Mariah Carey,1991
Marlon Brando,1951,Streetcar Named Desire,1953
Mary Tyler Moore,1961,The Dick Van Dyke Show,1964
Meryl Streep,1978,The Deer Hunter,1980
Mick Jagger,1965,(I Can't Get No) Satisfaction,1987
Morgan Freeman,1989,Driving Miss Daisy and Glory,2005
Oprah Winfrey,1985,The Color Purple,1987
Paul McCartney,1963,I Want to Hold Your Hand,1965
Paul Newman,1958,Cat on a Hot Tin Roof,1986
Peter O'Toole,1962,Lawrence of Arabia,2002
Prince,1979,Prince,1984
Robert Redford,1969,Butch Cassidy and the Sundance Kid,1980
Sidney Poitier,1955,Blackboard Jungle,1964
Sly Stone,1968,Everyday People,2017
Stevie Wonder,1963,Fingertips,1973
Tom Hanks,1984,Splash,1993
Tony Bennett,1951,Because of You,1963
Wayne Newton,1972,"Daddy, Don't You Walk So Fast",
Will Smith,1990,The Fresh Prince of Bel-Air,1988
Willie Nelson,1975,Red Headed Stranger,1976
